id,tweets,likes,retweets,Tweet_Score,time,followers,friends,User_Score,location,key_word,inclakeontario
1.46358E+18,RT @OPP_COMM_WR: ROAD CLOSURE: Bruce Rd 86 between Paradise Lake Rd and St Helens Line #Lucknow: Roadway closed for cleanup following a col…,0,2,4,11/24/2021 18:43,86880,803,88486,"London, ON",lake cleanup,0
1.46358E+18,ROAD CLOSURE: Bruce Rd 86 between Paradise Lake Rd and St Helens Line #Lucknow: Roadway closed for cleanup following a collision. #OPP on scene. ^aw https://t.co/5jRz02kio5,4,2,8,11/24/2021 18:32,39871,109,40089,"London, Ontario",lake cleanup,0
1.46354E+18,"RT @wjmckelvey: Pick up a copy of today's @YorkDispatch for great reporting from @tina_locurto on the cleanup of a local pond, @Matthew_Enr…",0,3,6,11/24/2021 15:58,495,431,1357,"York, PA",lake cleanup,0
1.46352E+18,"RT @wjmckelvey: Pick up a copy of today's @YorkDispatch for great reporting from @tina_locurto on the cleanup of a local pond, @Matthew_Enr…",0,3,6,11/24/2021 15:01,31206,6197,43600,"York, Pa.",lake cleanup,0
1.46352E+18,"RT @wjmckelvey: Pick up a copy of today's @YorkDispatch for great reporting from @tina_locurto on the cleanup of a local pond, @Matthew_Enr…",0,3,6,11/24/2021 15:01,247,1093,2433,,lake cleanup,0
1.46352E+18,"Pick up a copy of today's @YorkDispatch for great reporting from @tina_locurto on the cleanup of a local pond, @Matthew_Enright on the latest developments in the Vicosa tragedy and so much more.

Online here: https://t.co/vi7em5wggL

And here: https://t.co/KOThumMziV https://t.co/WTAm8HWjVW",2,3,8,11/24/2021 15:01,2177,439,3055,,lake cleanup,0
1.46351E+18,RT @outsidemagazine: Real change is possible. https://t.co/6OY9WXKlD5,0,2,4,11/24/2021 14:07,1461,2449,6359,"Lincoln Park, Chicago",lake cleanup,0
1.4635E+18,RT @outsidemagazine: Real change is possible. https://t.co/6OY9WXKlD5,0,2,4,11/24/2021 13:09,1071,2162,5395,,lake cleanup,0
1.46349E+18,Real change is possible. https://t.co/6OY9WXKlD5,10,2,14,11/24/2021 12:49,360887,1350,363587,"Santa Fe, NM",lake cleanup,0
1.46347E+18,RT @EPAGreatLakes: Our dredging activities were completed in the Wire Mill Delta area of Spirit Lake. We've moved to the North Dredge Area.…,0,1,2,11/24/2021 11:29,520,597,1714,"Forestville, WI",lake cleanup,0
1.46329E+18,RT @WBBM780Traffic: NB Route 53 is blocked at Lake Cook Road due to a crash and ongoing cleanup. #ChicagoTraffic gets by using the shoulder…,0,1,2,11/23/2021 23:32,39813,529,40871,"Chicago, IL",lake cleanup,0
1.46329E+18,NB Route 53 is blocked at Lake Cook Road due to a crash and ongoing cleanup. #ChicagoTraffic gets by using the shoulder but is solid from before Dundee. @WBBMNewsradio https://t.co/2kaxla5khK,1,1,3,11/23/2021 23:27,8328,97,8522,"Chicago, IL",lake cleanup,0
